 Version bandmott1
  
      n =    8
      l =   40
  tausk =   10
  doall =    1
  denswp=   50
  histno=   49
   iran =    -6562683
     t  =  1.00000000
    mu  =  0.00000000
  delmu =  0.00000000
  bpar =   0.00000000
  dtau  =  0.05000000
 warms  =  1000
 sweeps =  1000
      u =  8.000000000000
  nwrap =     4
difflim =  0.001000000000
 errrat =  0.010000000000
 doauto =     0
orthlen =    12
  eorth =  0.000000000100
 dopair =     1
numpair =     1
lambda =   0.653732997987
  start =           0
 after disorder set, iran =     -6562683
   
 Using mu =   0.000000000000
  
 signs: 
  1.000000  1.000000  1.000000  1.000000  1.000000
  1.000000  1.000000  1.000000  1.000000  1.000000
  
 G(nx,ny,ti):
 nx =            0  ny =            0
   0   -0.5000000000 +-   0.0000000000
   1   -0.4112851154 +-   0.0004568186
   2   -0.3418667494 +-   0.0008098098
   3   -0.2869464234 +-   0.0011899296
   4   -0.2432978376 +-   0.0012755284
   5   -0.2083668567 +-   0.0012925121
   6   -0.1798122425 +-   0.0013896868
   7   -0.1568534468 +-   0.0014585659
   8   -0.1382943068 +-   0.0016335811
   9   -0.1229714854 +-   0.0017148529
  10   -0.1100764741 +-   0.0017906241
  11   -0.0993658298 +-   0.0019633251
  12   -0.0902590417 +-   0.0021990125
  13   -0.0824916927 +-   0.0022663948
  14   -0.0754892960 +-   0.0023211356
  15   -0.0699280595 +-   0.0023817330
  16   -0.0657009708 +-   0.0023820151
  17   -0.0626040341 +-   0.0024097336
  18   -0.0602307786 +-   0.0024540703
  19   -0.0587005498 +-   0.0025927591
  20   -0.0581195278 +-   0.0026952240
  21   -0.0587005498 +-   0.0025927591
  22   -0.0602307786 +-   0.0024540703
  23   -0.0626040341 +-   0.0024097336
  24   -0.0657009708 +-   0.0023820151
  25   -0.0699280595 +-   0.0023817330
  26   -0.0754892960 +-   0.0023211356
  27   -0.0824916927 +-   0.0022663948
  28   -0.0902590417 +-   0.0021990125
  29   -0.0993658298 +-   0.0019633251
  30   -0.1100764741 +-   0.0017906241
  31   -0.1229714854 +-   0.0017148529
  32   -0.1382943068 +-   0.0016335811
  33   -0.1568534468 +-   0.0014585659
  34   -0.1798122425 +-   0.0013896868
  35   -0.2083668567 +-   0.0012925121
  36   -0.2432978376 +-   0.0012755284
  37   -0.2869464234 +-   0.0011899296
  38   -0.3418667494 +-   0.0008098098
  39   -0.4112851154 +-   0.0004568186
  40   -0.5000000000 +-   0.0000000000
 nx =            0  ny =            1
